quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,604,0,0,1,3,11,110,416,240,48826,1.541016,0.562500,0.000000,2.128906,3.472656,1.852268,4.321289,5.692383,14.285427,1.125000,1.718750,1.656250,3.483398,7357.000000,8436.000000,1
22,1624,0,0,0,6,15,350,416,240,48826,4.466797,3.246094,4.980469,4.292969,5.347656,0.640026,11.475586,12.311523,26.407101,0.265625,1.898438,0.273193,3.153748,8378.000000,9224.000000,1
22,732,0,0,2,3,10,120,416,240,48826,1.662109,0.617188,1.789062,2.937500,1.304688,0.715588,5.171875,5.880859,10.155361,0.453125,1.687500,0.341553,3.933594,13076.000000,13567.000000,1
22,480,0,1,3,0,0,90,416,240,48826,1.434570,1.925781,0.000000,2.710938,1.101562,1.009822,3.712891,3.476562,5.442985,1.125000,1.625000,1.359375,2.984375,6008.000000,6979.000000,1
22,172,0,1,2,0,2,24,416,240,48826,0.559570,1.089844,1.148438,0.000000,0.000000,0.313548,0.753906,1.597656,1.560905,2.812500,0.687500,15.527344,0.964844,4571.000000,3197.000000,1
22,118,0,1,0,6,7,6,416,240,48826,0.252930,0.000000,1.011719,0.000000,0.000000,0.191920,0.480469,0.925781,0.716300,1.500000,0.343750,5.500000,0.444336,1634.000000,3021.000000,1
22,2360,16,0,0,6,12,370,416,240,48826,8.598633,4.027344,4.003906,4.921875,21.441406,55.115883,21.875000,34.525391,284.099640,3.523438,4.343750,32.827576,99.725586,1974.000000,23505.000000,1
22,164,0,1,2,0,2,19,416,240,48826,0.266602,0.000000,0.769531,0.000000,0.296875,0.099002,1.609375,0.990234,2.709197,1.937500,1.062500,13.183594,1.058594,10800.000000,2960.000000,1
22,729,0,0,1,0,15,126,416,240,48826,1.549805,0.000000,3.523438,1.750000,0.925781,1.681651,5.133789,5.084961,11.477988,0.515625,1.390625,0.687256,3.206787,3768.000000,11034.000000,1
22,622,0,0,2,0,4,130,416,240,48826,1.781250,0.000000,0.886719,0.628906,5.609375,4.988869,4.797852,5.036133,16.034180,0.625000,1.187500,0.359375,1.652344,2910.000000,9007.000000,1
22,1481,0,0,1,18,8,324,416,240,48826,4.118164,2.785156,2.550781,7.539062,3.597656,4.051768,9.917969,10.580078,32.604202,0.875000,0.546875,1.640625,0.716553,17832.000000,16540.000000,1
22,1084,0,0,0,15,12,191,416,240,56170,2.550781,1.035156,3.003906,1.191406,4.972656,2.553955,7.872070,7.444336,22.223984,3.351562,3.335938,15.524841,14.691833,4241.000000,3556.000000,1
22,1904,0,0,0,15,20,369,416,240,56170,5.598633,5.507812,3.218750,7.644531,6.023438,2.509562,14.458984,13.083984,66.378944,1.515625,2.039062,6.515381,11.678162,14117.000000,14667.000000,1
22,1168,0,1,2,9,2,256,416,240,56170,3.329102,2.871094,0.808594,4.941406,4.695312,2.757197,9.441406,8.458984,46.406342,1.562500,2.984375,3.808594,13.984131,6421.000000,7441.000000,1
